Comment,Designator,Footprint,LCSC,Quantity
5.1kΩ,"R10,R11,R12,R13,R14,R15,R16,R9",R_0603,C23186,8
7.5kΩ,"R1,R2,R3,R4,R5,R6,R7,R8",R_0603,C23234,8
